('committee', 0.6598758173701872)
('programme', 0.6127418304151738)
('co', 0.15187618018837643)
('workshop', 0.12569063188003565)
('information', 0.1204535222183675)
('project', 0.11521641255669934)
('organiser', 0.09426797391002674)
('ecir', 0.08903086424835858)
('conference', 0.07331953526335414)
('sigir', 0.07331953526335414)
('day', 0.06808242560168598)
('chair', 0.06284531594001783)
('retrieval', 0.06284531594001783)
('search', 0.06284531594001783)
('dr', 0.05760820627834967)
('lac', 0.052371096616681524)
('papers', 0.052371096616681524)
('short', 0.052371096616681524)
('solutions', 0.052371096616681524)
('track', 0.04713398695501337)
('web', 0.04713398695501337)
('industry', 0.041896877293345215)
('research', 0.041896877293345215)
('university', 0.041896877293345215)
('demos', 0.03665976763167707)
('engineering', 0.03665976763167707)
('fdia', 0.03665976763167707)
('ktp', 0.03665976763167707)
('language', 0.03665976763167707)
('student', 0.03665976763167707)
('acl', 0.03142265797000891)
('essex', 0.03142265797000891)
('group', 0.03142265797000891)
('intelligence', 0.03142265797000891)
('access', 0.026185548308340762)
('cikm', 0.026185548308340762)
('data', 0.026185548308340762)
('full', 0.026185548308340762)
('intelligent', 0.026185548308340762)
('international', 0.026185548308340762)
('ir', 0.026185548308340762)
('irf', 0.026185548308340762)
('knowledge', 0.026185548308340762)
('lrec', 0.026185548308340762)
('ranlp', 0.026185548308340762)
('recent', 0.026185548308340762)
('senior', 0.026185548308340762)
('signal', 0.026185548308340762)
('aaai', 0.020948438646672608)
('board', 0.020948438646672608)
('chiir', 0.020948438646672608)
('computer', 0.020948438646672608)
('development', 0.020948438646672608)
('directions', 0.020948438646672608)
('electronic', 0.020948438646672608)
('eswc', 0.020948438646672608)
('experience', 0.020948438646672608)
('extraction', 0.020948438646672608)
('future', 0.020948438646672608)
('gamification', 0.020948438646672608)
('human', 0.020948438646672608)
('hybrid', 0.020948438646672608)
('london', 0.020948438646672608)
('news', 0.020948438646672608)
('rights', 0.020948438646672608)
('school', 0.020948438646672608)
('science', 0.020948438646672608)
('translation', 0.020948438646672608)
('ai', 0.015711328985004457)
('approaches', 0.015711328985004457)
('award', 0.015711328985004457)
('collaboration', 0.015711328985004457)
('computation', 0.015711328985004457)
('demo', 0.015711328985004457)
('doctoral', 0.015711328985004457)
('document', 0.015711328985004457)
('epsrc', 0.015711328985004457)
('example', 0.015711328985004457)
('game', 0.015711328985004457)
('gamifir', 0.015711328985004457)
('hytra', 0.015711328985004457)
('iiix', 0.015711328985004457)
('irsg', 0.015711328985004457)
('jcdl', 0.015711328985004457)
('kruschwitz', 0.015711328985004457)
('member', 0.015711328985004457)
('miguel', 0.015711328985004457)
('modeling', 0.015711328985004457)
('natural', 0.015711328985004457)
('partnership', 0.015711328985004457)
('pebl', 0.015711328985004457)
('personalization', 0.015711328985004457)
('program', 0.015711328985004457)
('resources', 0.015711328985004457)
('review', 0.015711328985004457)
('scientific', 0.015711328985004457)
('techniques', 0.015711328985004457)
('tutorials', 0.015711328985004457)
('udo', 0.015711328985004457)
('user', 0.015711328985004457)
('wsdm', 0.015711328985004457)
('ypa', 0.015711328985004457)
('1206', 0.010474219323336304)
('14', 0.010474219323336304)
('18', 0.010474219323336304)
('44', 0.010474219323336304)
('analysis', 0.010474219323336304)
('application', 0.010474219323336304)
('articles', 0.010474219323336304)
('book', 0.010474219323336304)
('bt', 0.010474219323336304)
('cdt', 0.010474219323336304)
('challenge', 0.010474219323336304)
('clef', 0.010474219323336304)
('communities', 0.010474219323336304)
('consortium', 0.010474219323336304)
('corpus', 0.010474219323336304)
('current', 0.010474219323336304)
('dir', 0.010474219323336304)
('directory', 0.010474219323336304)
('eacl', 0.010474219323336304)
('email', 0.010474219323336304)
('enquiry', 0.010474219323336304)
('enterprise', 0.010474219323336304)
('evaluation', 0.010474219323336304)
('external', 0.010474219323336304)
('games4nlp', 0.010474219323336304)
('hypertext', 0.010474219323336304)
('ictir', 0.010474219323336304)
('interactive', 0.010474219323336304)
('interests', 0.010474219323336304)
('iswc', 0.010474219323336304)
('large', 0.010474219323336304)
('look', 0.010474219323336304)
('major', 0.010474219323336304)
('media', 0.010474219323336304)
('methods', 0.010474219323336304)
('minority', 0.010474219323336304)
('mmm', 0.010474219323336304)
('multiling', 0.010474219323336304)
('multilingual', 0.010474219323336304)
('new', 0.010474219323336304)
('newsletter', 0.010474219323336304)
('newsreel', 0.010474219323336304)
('paper', 0.010474219323336304)
('pc', 0.010474219323336304)
('personalised', 0.010474219323336304)
('phd', 0.010474219323336304)
('poesio', 0.010474219323336304)
('projects', 0.010474219323336304)
('publications', 0.010474219323336304)
('recommender', 0.010474219323336304)
('scale', 0.010474219323336304)
('sensei', 0.010474219323336304)
('stairs', 0.010474219323336304)
('students', 0.010474219323336304)
('such', 0.010474219323336304)
('supervisor', 0.010474219323336304)
('swisstext', 0.010474219323336304)
('systems', 0.010474219323336304)
('text', 0.010474219323336304)
('text2story', 0.010474219323336304)
('transfer', 0.010474219323336304)
('www', 0.010474219323336304)
('year', 0.010474219323336304)
('years', 0.010474219323336304)
('15', 0.005237109661668152)
('16', 0.005237109661668152)
('17th', 0.005237109661668152)
('19', 0.005237109661668152)
('872669', 0.005237109661668152)
('872788', 0.005237109661668152)
('_uacct', 0.005237109661668152)
('aberdeen', 0.005237109661668152)
('ac', 0.005237109661668152)
('academic', 0.005237109661668152)
('acm', 0.005237109661668152)
('active', 0.005237109661668152)
('actors', 0.005237109661668152)
('acts', 0.005237109661668152)
('adaptation', 0.005237109661668152)
('adindla', 0.005237109661668152)
('advanced', 0.005237109661668152)
('advances', 0.005237109661668152)
('aim', 0.005237109661668152)
('airs', 0.005237109661668152)
('alarfaj', 0.005237109661668152)
('albakour', 0.005237109661668152)
('alhindi', 0.005237109661668152)
('althobaiti', 0.005237109661668152)
('alvarez', 0.005237109661668152)
('analytics', 0.005237109661668152)
('anaphora', 0.005237109661668152)
('anawiki', 0.005237109661668152)
('annotated', 0.005237109661668152)
('annotation', 0.005237109661668152)
('ans', 0.005237109661668152)
('antai', 0.005237109661668152)
('applications', 0.005237109661668152)
('arabic', 0.005237109661668152)
